ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
10225932,HY413220,09/06/2015 08:52:00 PM,087XX S UNION AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2223,22,21,71,08B,1173169,1846907,2015,02/10/2018 03:50:01 PM,41.73533519,-87.64116243,"(41.735335188, -87.641162432)",18,21554,70,608,13,59,9,243
10225933,HY413236,09/06/2015 08:45:00 PM,114XX S PRAIRIE AVE,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,TRUE,FALSE,531,5,9,49,04B,1179956,1829174,2015,02/10/2018 03:50:01 PM,41.68652102,-87.61683831,"(41.686521024, -87.61683831)",30,21861,45,253,43,19,10,265
10225935,HY413310,09/06/2015 10:15:00 PM,059XX S ASHLAND AVE,860,THEFT,RETAIL THEFT,GAS STATION,FALSE,FALSE,713,7,15,67,6,1166686,1865425,2015,02/10/2018 03:50:01 PM,41.78629171,-87.66438601,"(41.786291714, -87.664386014)",44,22257,65,276,2,23,17,164
10225937,HY413225,09/06/2015 08:55:00 PM,044XX S TALMAN AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,VEHICLE NON-COMMERCIAL,TRUE,FALSE,922,9,12,58,26,1159439,1875226,2015,02/10/2018 03:50:01 PM,41.8133386,-87.69068865,"(41.813338597, -87.690688646)",29,22248,55,641,3,56,23,115
10225938,HY413239,09/06/2015 09:21:00 PM,012XX W 13TH ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,1233,12,2,28,04B,1168315,1894201,2015,02/10/2018 03:50:01 PM,41.86522103,-87.65758341,"(41.865221027, -87.657583414)",48,14920,29,96,26,43,15,150
10225939,HY413182,09/06/2015 06:00:00 PM,004XX N ARMOUR ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1215,12,27,24,6,1166102,1902893,2015,02/10/2018 03:50:01 PM,41.88912009,-87.66545907,"(41.889120088, -87.665459072)",41,22620,25,485,46,49,15,78
10225940,HY413284,09/06/2015 08:50:00 PM,057XX S RACINE AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,FALSE,FALSE,712,7,16,68,04B,1169298,1866822,2015,02/10/2018 03:50:01 PM,41.79006908,-87.65476868,"(41.79006908, -87.654768679)",19,22257,66,409,2,11,17,261
10225941,HY413342,09/06/2015 12:00:00 PM,089XX S LOWE AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,2223,22,21,71,6,1173537,1845632,2015,02/10/2018 03:50:01 PM,41.73182829,-87.63985187,"(41.731828287, -87.639851867)",18,21554,70,608,13,59,9,243
10225942,HY413274,09/05/2015 03:30:00 AM,100XX S OAKLEY AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,2213,22,19,72,08B,1162814,1838014,2015,02/10/2018 03:50:01 PM,41.71115362,-87.67934666,"(41.711153624, -87.67934666)",33,22212,71,629,42,13,9,252
10225943,HY413293,09/06/2015 10:23:00 PM,033XX W LEXINGTON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1134,11,24,27,18,1154131,1896503,2015,02/10/2018 03:50:01 PM,41.87183254,-87.70959202,"(41.871832536, -87.709592018)",36,21572,28,36,14,30,16,140
